,company,title,location,job posted date,job salary,summary,Experince Level,City,State,Manager,Engineer
115,Bank of America,Data Support Sr Analyst,"Charlotte, NC 28202 (First Ward area)+3 locations",PostedJust posted,Full-time,Establish and build trusted advisor relationships across the internal and external Credit Risk data community and act as subject matter expert on Credit Risk…,Senior Level,Charlotte, NC 28202 (First Ward area)+3 locations,0,0
116,Strategic Employment Partners,Senior Data Analyst,Remote,Posted3 days ago,Full-time,"5+ years of professional experience as a *Data Analyst*.Strong experience writing *SQL – complex queries*, etc.",Senior Level,Remote,,0,0
117,Apptrics LLC,Sr. Data Analyst,"Atlanta, GA 30303 (Downtown area)", 13 days ago,$36 - $40 an hour,Using extremely large data sets: 5 years (Required).General understanding of data integrity.Experience using extremely large data sets.,Senior Level,Atlanta, GA 30303 (Downtown area),0,0
118,"Athreya, Inc.",Senior Data Analyst,"Milpitas, CA 95035",Posted11 days ago,$55 - $65 an hour,"Data Analyst who can help with data and presentation work across strategy and Biz Ops, analyze the raw financial, SaaS, Workforce data to create exec summaries.",Senior Level,Milpitas, CA 95035,0,0
119,Blue Cross and Blue Shield of Minnesota,Senior Data Analyst,+1 locationRemote,Posted1 day ago,From $90000 a year,"Familiarity with data analysis concepts and data modeling tools.Recommends development process improvements, partners with development teams to capture data…",Senior Level,+1 locationRemote,,0,0
120,Kutir Corporation,Senior Data Analyst,"Remote in Jacksonville, FL", 1 day ago,$55034 - $126560 a year,Data warehouse: 5 years (Preferred).Data Analyst: 10 years (Preferred).Data analytics: 8 years (Preferred).,Senior Level,Remote in Jacksonville, FL,0,0
121,Zenernet,Senior Data Analyst/Data Scientist,Remote,Posted2 days ago,$100000 - $120000 a year,"Knowledge of connecting and mapping data sources in Tableau.You will start with an untouched Tableau environment, map data, and create a data-driven reporting…",Senior Level,Remote,,0,0
122,Indeed,Senior Data Governance Analyst,Remote,Posted30+ days ago,$94000 - $136000 a year,"6+ years industry experience as a business analyst, data analyst, data governance analyst, or in a data quality management role.",Senior Level,Remote,,0,0
123,LOCFIT LLC,Senior SAS/Python Data Analyst (Salary up to 160k),"Temporarily Remote in Washington, DC", 3 days ago,$120000 - $160000 a year,"Candidates should also be knowledgeable in data visualization, and large data manipulation.--Ten (10) years of relevant experience (a Masters or CFA may…",Senior Level,Temporarily Remote in Washington, DC,0,0
124,Online Technical Services,Senior Data Analyst - Data Warehouse Consultant,"San Jose, CA 95112 (Downtown area)",PostedJust posted,$110 - $120 an hour,"Familiarity with Social Services systems and data sources a plus.Experienced with relational database, querying, data extraction and scripting.",Senior Level,San Jose, CA 95112 (Downtown area),0,0
125,Brooksource,Senior Data Governance Analyst,Missouri,Posted30+ days ago,$78000 - $115000 a year,Identifies data challenges and issues regarding data quality.Serves as liaison with data source specialists for data standardization and consistency.,Senior Level,Missouri,,0,0
126,InterraIT,Looking for Data Privacy Analyst,Remote, 7 days ago,$60 - $65 an hour,Establishes and maintains Risk and Compliance policies and assumes ownership for programs which promote risk management and ensure compliance to regulatory…,Senior Level,Remote,,0,0
127,AgreeYa Solutions,Sr Data Analyst,Remote,Posted5 days ago,Full-time +1,"Data mapping: 3 years (Required).Works independently to improve data quality, data collection and analysis processes; develops data modelling methodologies and…",Senior Level,Remote,,0,0
128,Vaco,Senior Data Analyst | Upto $70/hr,"Oakland, CA+1 location",Posted26 days ago,Up to $70 an hour,"We are looking for a candidate with strong SQL, python, and data visualization skills.**Must be in Oakland, CA or commutable distance***.",Senior Level,Oakland, CA+1 location,0,0
129,Eteam Infoservices Private Limited,Senior Data Analyst,"Charlotte, NC", 12 days ago,$55 - $60 an hour,The client is looking for two Senior Data Analysts to support our Enterprise Data Governance Program initiatives focused on data quality and analytics.,Senior Level,Charlotte, NC,0,0
130,Aquent,Data Analyst,"Dallas, TX",Posted20 days ago,$75 an hour,"Capacity to handle priorities with a data-driven mindset.Strong experience of Web/App, digital & data analytics.",Senior Level,Dallas, TX,0,0
131,Agama Solutions,Data Automation Analyst,"Summit, NJ",Posted4 days ago,$32 - $55 an hour,"7+ years of experience working with business partners on requirements, data design, data analysis.Experience with programming tools like Python, SQL, Java for…",Senior Level,Summit, NJ,0,0
132,Cerebral,Senior Data Analyst,Remote in California+1 location,Posted30+ days ago,Full-time,"Collaborate with data science, engineering, and business-focused colleagues to inform data and client related decisions, automate data processes, and determine…",Senior Level,Remote in California+1 location,,0,0
133,Shop-Ware,Senior Data Analyst,Remote, 7 days ago,$100000 - $115000 a year,Proven track record of success in data analysis and data science for a software company -- bonus points if you've done this for a niche industry.,Senior Level,Remote,,0,0
134,The Home Depot,Senior Cybersecurity Analyst (Remote),"Remote in Atlanta, GA+1 location",Posted1 day ago,$100000 - $180000 a year,"Collaborates with cross functional teams to collect, analyze data, presents results and provides recommendations.Must be eighteen years of age or older.",Senior Level,Remote in Atlanta, GA+1 location,0,0
135,AgreeYa Solutions,Sr Data Analyst,Remote,Posted5 days ago,Full-time +1,"Data mapping: 3 years (Required).Somewhat of a hybrid business analyst and data analytics role, but must be technical.Data analysis: 7 years (Required).",Senior Level,Remote,,0,0
136,X2Logics,Sr. Data Analyst,+1 locationRemote,PostedJust posted,$60 - $65 an hour,"We are looking for a data analyst who will be responsible for coordinating the changes to computer databases, test, and implement the database applying…",Senior Level,+1 locationRemote,,0,0
137,Vaco,Senior Data Analyst | Upto $70/hr,"Oakland, CA",Posted26 days ago,Up to $70 an hour,"We are looking for a candidate with strong SQL, python, and data visualization skills.**Must be in Oakland, CA or commutable distance***.",Senior Level,Oakland, CA,0,0
138,FrontierBPM,Senior Data and Reporting Analyst,Remote,Posted1 day ago,From $40 an hour,Data reporting: 5 years (Preferred).Integrates data from multiple sources to produce requested or required data elements.Pay: From $40.00 per hour.,Senior Level,Remote,,0,0
139,Bank of America,Data Support Sr Analyst,"Charlotte, NC 28202 (First Ward area)",PostedJust posted,Full-time,Establish and build trusted advisor relationships across the internal and external Credit Risk data community and act as subject matter expert on Credit Risk…,Senior Level,Charlotte, NC 28202 (First Ward area),0,0
140,Apptrics LLC,Sr. Data Analyst,"Atlanta, GA 30303 (Downtown area)+1 location", 13 days ago,$36 - $40 an hour,Using extremely large data sets: 5 years (Required).General understanding of data integrity.Experience using extremely large data sets.,Senior Level,Atlanta, GA 30303 (Downtown area)+1 location,0,0
141,Strategic Employment Partners,Senior Data Analyst,Remote,Posted3 days ago,Full-time,The company has been around for almost 10 years and the data analytics team has played an integral part in the company's success.Salary: * up to $135K.,Senior Level,Remote,,0,0
142,Blue Cross and Blue Shield of Minnesota,Senior Data Analyst,+2 locationsRemote,Posted1 day ago,From $90000 a year,"Familiarity with data analysis concepts and data modeling tools.Recommends development process improvements, partners with development teams to capture data…",Senior Level,+2 locationsRemote,,0,0
143,Kutir Corporation,Senior Data Analyst,"Remote in Jacksonville, FL", 1 day ago,$55034 - $126560 a year,"Data warehouse: 5 years (Preferred).Job Title: Senior Data Analyst*.Location: 100% Remote - (Jacksonville, FL)*.Employment Terms: Fulltime with benefits*.",Senior Level,Remote in Jacksonville, FL,0,0
144,Zenernet,Senior Data Analyst/Data Scientist,Remote,Posted2 days ago,$100000 - $120000 a year,We are seeking to immediately add a data scientist/data analyst to our team who will build our business analytics ecosystem with Tableau as our visualization…,Senior Level,Remote,,0,0
145,Liberty Mutual Insurance,"Data Analyst / Sr. Data Analyst, Remote",+1 locationRemote,Posted4 days ago,$90000 - $142500 a year,"Requires critical thinking, data analysis, data profiling and data modeling experience.Generally, 2 – 5 years of professional experience.",Senior Level,+1 locationRemote,,0,0
146,The Home Depot,Senior Cybersecurity Analyst (Remote),"Remote in Atlanta, GA+1 location",Posted1 day ago,$100000 - $180000 a year,Position Purpose: Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging…,Senior Level,Remote in Atlanta, GA+1 location,0,0
147,Liberty Mutual Insurance,"Data Analyst / Sr. Data Analyst, Remote",Remote,Posted4 days ago,$90000 - $142500 a year,"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness,…",Senior Level,Remote,,0,0
148,FrontierBPM,Senior Data and Reporting Analyst,Remote,Posted1 day ago,From $40 an hour,*\*\*NO 3rd PARTY APPLICATIONS-DIRECT SUBMISSIONS ONLY\*\** *Job Title: Senior Data & Reporting Analyst* *No Sponsorship-**U.S. Citizen or Full Green Card…,Senior Level,Remote,,0,0
149,Aquent,Data Analyst,"Dallas, TX",Posted20 days ago,$75 an hour,Location: Dallas Job Terms: Temporary Salary: 75 Start date: 02/14/2022 Posted By: Katina Modest Date: 02/01/2022 Job Description: Exciting new role as Data…,Senior Level,Dallas, TX,0,0
150,Vaco,Senior Data Analyst | Upto $70/hr,"Oakland, CA+1 location",Posted26 days ago,Up to $70 an hour,"***Sr. Data Analyst*** ***Must be in Oakland, CA or commutable distance*** ***6 Months (Possible Extensions/Conversion)*** ***Upto $70/hr on W2*** ***NO C2C…",Senior Level,Oakland, CA+1 location,0,0
151,Bank of America,Data Support Sr Analyst,"Charlotte, NC 28202 (First Ward area)+3 locations",PostedJust posted,Full-time,"Job Description: Part of a team responsible for the interpretation, design, implementation and sustainment of best-in-class data management practices in…",Senior Level,Charlotte, NC 28202 (First Ward area)+3 locations,0,0
152,Strategic Employment Partners,Senior Data Analyst,Remote,Posted3 days ago,Full-time,"A *leading, high-traffic online marketplace* is hiring for a *Senior Data Analyst* to be the newest member of their data analytics team! The company has been…",Senior Level,Remote,,0,0
153,Apptrics LLC,Sr. Data Analyst,"Atlanta, GA 30303 (Downtown area)", 13 days ago,$36 - $40 an hour,"*Job Title : **Sr. Data Analyst-DFCS-Performance Planning and Reporting* *Duration: 5+ Months* *Location: **2 Peachtree St. NW, Atlanta, Georgia 30303*…",Senior Level,Atlanta, GA 30303 (Downtown area),0,0
154,"Athreya, Inc.",Senior Data Analyst,"Milpitas, CA 95035",Posted11 days ago,$55 - $65 an hour,"Job Description: As a Senior Data Analyst in Data Analytics unit you will be part of a fast-paced team designing, developing, testing, integrating, and…",Senior Level,Milpitas, CA 95035,0,0
155,Blue Cross and Blue Shield of Minnesota,Senior Data Analyst,+1 locationRemote,Posted1 day ago,From $90000 a year,Blue Cross and Blue Shield of Minnesota is one of the most recognized and trusted health care brands in the world with 2.9 million members. We’re committed to…,Senior Level,+1 locationRemote,,0,0
156,Eteam Infoservices Private Limited,Senior Data Analyst,"Charlotte, NC", 12 days ago,$55 - $60 an hour,post1 Job Description: The client is looking for two Senior Data Analysts to support our Enterprise Data Governance Program initiatives focused on data…,Senior Level,Charlotte, NC,0,0
157,Kutir Corporation,Senior Data Analyst,"Remote in Jacksonville, FL", 1 day ago,$55034 - $126560 a year,"*Job Title: Senior Data Analyst* *Location: 100% Remote - (Jacksonville, FL)* *Employment Terms: Fulltime with benefits* *Required Skills: * * Data…",Senior Level,Remote in Jacksonville, FL,0,0
158,Zenernet,Senior Data Analyst/Data Scientist,Remote,Posted2 days ago,$100000 - $120000 a year,Zenernet is the industry-leading provider of residential solar energy solutions across the United States. We are technology-driven and scaling fast. We are…,Senior Level,Remote,,0,0
159,Indeed,Senior Data Governance Analyst,Remote,Posted30+ days ago,$94000 - $136000 a year,"Your Job Our mission is to empower Indeedians to manage data using best practices. As a Data Governance Analyst, you will have a direct impact on the…",Senior Level,Remote,,0,0
160,Aquent,Data Analyst,"Dallas, TX",Posted20 days ago,$75 an hour,"Capacity to handle priorities with a data-driven mindset.Strong experience of Web/App, digital & data analytics.Experience in retail/multichannel businesses.",Senior Level,Dallas, TX,0,0
161,Overhead Door Corporation,"Sr, IT Business Analyst","Lewisville, TX+1 location", 2 days ago,Full-time,"The Enterprise Application Business Analyst will work as a member of Overhead Door’s Enterprise Application team to implement, support, and enhance our Oracle…",Senior Level,Lewisville, TX+1 location,0,0
162,Exelon Corporation,Sr Business Analyst - Oakbrook,"Oak Brook, IL 60523+16 locations",Posted1 day ago,,Planning for data management and data analysis activities and recommend new / different technologies to enhance current system and help the team push towards…,Senior Level,Oak Brook, IL 60523+16 locations,0,0
163,Ursus,Sr. SQL Data Analyst,"Remote in Rancho Cordova, CA",Posted4 days ago,Contract,"Works independently to improve data quality, data collection and analysis processes; develops data modeling methodologies and report design to meet diverse and…",Senior Level,Remote in Rancho Cordova, CA,0,0
164,Mitchell International,Remote Senior Data Informatics Analyst 1,"Remote in San Diego, CA",Posted26 days ago,Full-time,Integrates data from multiple sources to produce requested or required data elements.Generates ad hoc reports and regular datasets or report information for…,Senior Level,Remote in San Diego, CA,0,0
165,Procom,"Data Analyst, U.S. Data Strategy - 331792","New York, NY",Posted8 days ago,Contract,"Experience with data projects involving concepts and processes related to data management, such as Critical Data Elements (CDEs), data architecture, data models…",Senior Level,New York, NY,0,0
166,Aquent,Data Analyst,"Dallas, TX+1 location",Posted20 days ago,$75 an hour,"Capacity to handle priorities with a data-driven mindset.Strong experience of Web/App, digital & data analytics.",Senior Level,Dallas, TX+1 location,0,0
167,"Chick-fil-A, Inc.","Sr. Business Analyst, Data Privacy","Atlanta, GA 30349+1 location",Posted25 days ago,,Familiarity with US and International data privacy regulations.2-5 years relevant work experience.You will serve as a subject matter expert for privacy…,Senior Level,Atlanta, GA 30349+1 location,0,0
168,Crescent Bank,Sr Business Analyst,"Carrollton, TX 75006+1 location",Posted30+ days ago,Full-time,"They will be able to apply knowledge of business and use balanced judgment in interpretation of data (analytics).Medical, Dental, and Vision Insurance.",Senior Level,Carrollton, TX 75006+1 location,0,0
169,Madison Reed,Sr. Data Analyst - Marketing Analytics (Remote),"Remote in San Francisco, CA+1 location",Posted30+ days ago,,"2 - 4 years of professional experience in data analysis, data visualization and business intelligence.Write SQL queries to pull and manipulate data.",Senior Level,Remote in San Francisco, CA+1 location,0,0
170,NIKE INC,"Data Science Director, Global Commercial Analytics (Open to...","Remote in Portland, OR+4 locations",PostedJust posted,$157500 a year,Evangelize data science and help senior leadership identify business areas where data science will make the biggest impact.,Senior Level,Remote in Portland, OR+4 locations,0,0
171,Meridian Technologies,Senior Business Analyst,"Houston, TX 77002 (Downtown area)", 5 days ago,$70 - $80 an hour,"Conducts highly complex business process analyses, needs assessments, and preliminary cost/benefit analyses in an effort to align information technology…",Senior Level,Houston, TX 77002 (Downtown area),0,0
172,firstPRO Inc.,Senior Project Business Analyst,"Philadelphia, PA+1 location",Posted13 days ago,$60 - $65 an hour,"Five (5) years of business analysis experience.Three (3) years of project management experience in small-to-medium initiatives.Job Types: Full-time, Contract.",Senior Level,Philadelphia, PA+1 location,0,0
173,"A. Duie Pyle, INC.",Sr. Business Intelligence Analyst,"West Chester, PA 19382+6 locations",Posted11 days ago,Full-time,"3 or more years experience in performing data reporting, data warehouse and Business Intelligence (BI).Perform logical and physical data modeling to support…",Senior Level,West Chester, PA 19382+6 locations,0,0
174,Lendistry,Senior Data Analyst,Remote, 4 days ago,Full-time,"5 years’ experience in data analysis in a professional setting.Work closely with data engineering, product, and business teams to develop, design, and maintain…",Senior Level,Remote,,0,0
175,Scientific Systems and Software International...,Database BI Analyst/WebFOCUS - Ref.: SSSI.50.C3,"Catonsville, MD 21228", 29 days ago,$60000 - $65000 a year,"Minimum of 5 years of experience working in various SDLC frameworks (e.g. Agile, Waterfall) as a Systems Analyst to elicit and document requirements and…",Senior Level,Catonsville, MD 21228,0,0
176,Indeed,Senior Business Analyst,"Austin, TX",Posted30+ days ago,$74000 - $108000 a year,Proficient in manipulating data sets in SQL or equivalent and drawing insights from data.Apply advanced business analyst tools/techniques and develop a breadth…,Senior Level,Austin, TX,0,0
177,Vaco,Senior Data Analyst | Upto $70/hr,"Oakland, CA+1 location",Posted27 days ago,Up to $70 an hour,"We are looking for a candidate with strong SQL, python, and data visualization skills.**Must be in Oakland, CA or commutable distance***.",Senior Level,Oakland, CA+1 location,0,0
178,HCL Technologies,Sr Master Data Management (MDM) Architect/Analyst,Remote, 12 days ago,$61120 - $150129 a year,"HCL seeks a Sr Master Data Management (MDM) Architect/Analyst for a full-time employment opportunity in Hartford, CT.Should have worked on Multi Domain MDM.",Senior Level,Remote,,0,0
179,Catchpoint,"Director, Data Analytics",Remote,Posted25 days ago,,"Experience and comfort with data – understanding data, synthesizing and visualizing actionable insights.Catchpoint is looking for a business intelligence/ data…",Senior Level,Remote,,0,0
180,SPECTRUM,Sr. Data & Reporting Analyst,"Stamford, CT 06901 (Downtown area)+3 locations",Posted1 day ago,,Integrate data from multiple sources to produce requested or required data elements.Identify and define data quality improvements.,Senior Level,Stamford, CT 06901 (Downtown area)+3 locations,0,0
181,Hartford HealthCare Corp.,Clinical Intelligence Epic Sr. Data Analyst,"Hartford, CT 06102 (Downtown area)",Posted30+ days ago,Full-time,Performs complex data analysis in support of customer requests.Turns data into information and proactively identifies opportunities based on that information.,Senior Level,Hartford, CT 06102 (Downtown area),0,0
182,AgreeYa Solutions,Sr Data Analyst,Remote,Posted5 days ago,Full-time +1,*Position: Sr. Data Analyst Location: Remote Duration: 6 + Months (could be extend) Note : * Remote position supporting west coast hours. 7 - 10…,Senior Level,Remote,,0,0
183,LOCFIT LLC,Senior SAS/Python Data Analyst (Salary up to 160k),"Temporarily Remote in Washington, DC", 3 days ago,$120000 - $160000 a year,This SAS/Python Data Analyst position is located in Washington DC. Candidates must be local or able to relocate to Washington DC area. Remote working option…,Senior Level,Temporarily Remote in Washington, DC,0,0
184,InterraIT,Looking for Data Privacy Analyst,Remote, 7 days ago,$60 - $65 an hour,"*Details: * -Proactively collects and analyzes relevant industry, regulatory, and best practice information to determine possible impacts. -Develops highly…",Senior Level,Remote,,0,0
185,Agama Solutions,Data Automation Analyst,"Summit, NJ",Posted4 days ago,$32 - $55 an hour,Qualifications: * Overall 10+ years IT industry experience. * JIRA/Confluence Proficiency. * Strong written and verbal communication skills. * Strong…,Senior Level,Summit, NJ,0,0
186,Insurity,Sr. Business Analyst,"Temporarily Remote in Hartford, CT+1 location",Posted12 days ago,,"Accurately estimate analyst work efforts.Familiar with data mapping for API interfaces.Coaching, training, and mentoring other analysts.",Senior Level,Temporarily Remote in Hartford, CT+1 location,0,0
187,Insight Global,Sr. Data Analyst,"Atlanta, GA 30346+1 location",Posted4 days ago,,Extensive experience working with and analyzing data and data quality at the requirements stage.Experience working with Product Managers/Product Owners to…,Senior Level,Atlanta, GA 30346+1 location,0,0
188,Frontier Communications,"Director, Data Analytics","Dallas-Fort Worth, TX+2 locations",Posted30+ days ago,,7+ years experience in data analytics and modeling.Partner cross-functionally to solve problems with creative insights from quantitative and qualitative data…,Senior Level,Dallas-Fort Worth, TX+2 locations,0,0
189,ERIKS NA,Sr. IT Business Analyst - Customer Service Focus,Remote, 4 days ago,Full-time,"A strong understanding of data, data structures, software/ERP configuration via soft-coding is required.ERP sales order processes and related areas of business…",Senior Level,Remote,,0,0
190,Central Point Partners,Senior Project Data Analyst,"Hybrid remote in New Albany, OH",Posted7 days ago,From $38 an hour,"Provide framework for enforcing data integrity rules during data entry.Working with IT Support, provide framework for updating data for data correction…",Senior Level,Hybrid remote in New Albany, OH,0,0
191,"TekPartners, A P2P Company",Sr. Data Warehouse Analyst,"Lake Mary, FL 32746",Posted12 days ago,$51 an hour,Expert knowledge of GUI based ETL and workflow automation tools are required to efficiently manipulate data in the data warehouse.,Senior Level,Lake Mary, FL 32746,0,0
192,Vaco,Senior Data Analyst | Upto $70/hr,"Oakland, CA",Posted27 days ago,Up to $70 an hour,"We are looking for a candidate with strong SQL, python, and data visualization skills.**Must be in Oakland, CA or commutable distance***.",Senior Level,Oakland, CA,0,0
193,Fasa para Sparrow Company,newBI Data Analyst,"Ontario, CA",PostedJust posted,$70000 - $80000 a year,"Reporting of information from Integra, dispatching software product of Command Alkon.Equipment Utilization and Plant Production Reports.",,Ontario, CA,0,0
194,Snappyhires,newData Analyst Infomatica,Remote,PostedJust posted,$35 - $47 an hour,Partner with core data engineering teams to consistently evolve data models based on growing business and engineering needs.,,Remote,,0,0
195,Hastings Mutual Insurance Company,Business Analyst,"Hastings, MI 49058",Posted30+ days ago,Full-time,"Highly motivated, self-directed, logical, efficient, and keen attention to detail.The individual in this role will elicit, analyze, specify, and validate the…",,Hastings, MI 49058,0,0
196,Orgspire Info Technologies Pvt. Ltd.,newInformatica (ETL) Data Analyst,Remote,PostedJust posted,$47 - $52 an hour,"Key Skills: * Informatica (ETL), Data analysis.Strong Data Analyst experience ~ 4+ years.ETL background ( informatica/datastage / IICS).",,Remote,,0,0
197,Milam's Market,Human Resources Analyst,"Miami Springs, FL 33166",Posted30+ days ago,$25 an hour,"Ensures compliance with data privacy regulations and best practices.Prepares reports of data results, presenting and explaining findings to senior leadership.",,Miami Springs, FL 33166,0,0
198,Altice USA,newCompliance Analyst Virtual Hiring Event,"Merrick, NY 11566+7 locations",Posted5 days ago,Full-time,Reviews data to identify basic trends and analysis.Must be able to analyze and present insight from informational data.Data mining and querying preferred.,,Merrick, NY 11566+7 locations,0,0
199,Stafug,newData/Business Analyst,"Remote in California City, CA+3 locations",PostedJust posted,$55 - $65 an hour,"Documenting data flows at different levels.Experience working directly with senior stakeholders to identify data requirements.Job Types: Full-time, Part-time.",,Remote in California City, CA+3 locations,0,0
200,"Entegris, Inc.",newData Analyst,"Round Rock, TX 78665+1 location",Posted7 days ago,Full-time,Establish & maintain methods that enable data visualization to derive business insights and ‘tells the story’.Never satisfied with the status quo;,,Round Rock, TX 78665+1 location,0,0
201,"Prime Trust, LLC",Data Analyst II,Remote,EmployerActive 2 days ago,$75000 - $80000 a year,"5+ years industry experience as a business analyst, data analyst, data governance analyst, or in a data quality management role.Job Type: *Full-time position.",,Remote,,0,0
202,Infipact,newData Analyst,Remote,Posted7 days ago,$50 - $55 an hour,"5+ years of exp in writing complex SQL queries- strong SQL experience.5+ years of work experience on Oracle platform.Job Types: Full-time, Contract.",,Remote,,0,0
203,Anthem Sports & Entertainment,newData Analyst,Temporarily Remote,PostedJust posted,Up to $75000 a year,The successful candidate will have a minimum of 3-5 years previous experience as a Digital Business Analyst.Coordinate onboarding of new channels.,,Temporarily Remote,,0,0
204,Cilable,newData Analyst - REMOTE,+1 locationRemote,Posted5 days ago,Up to $30 an hour,"The candidate will assist the Data Governance Program manager in the delivery of all data governance projects and initiatives.Job Types: Full-time, Contract.",,+1 locationRemote,,0,0
205,Rohatech llc,newData Analyst - Tableau,+1 locationRemote,PostedToday,Full-time +1,"12 Month Contract - Potential For Extension or Conversion.Create Visualization for Business Team.Job Types: Full-time, Contract.",,+1 locationRemote,,0,0
206,The Standard,Data Analyst (EXCEL EXPERT) REMOTE,"Remote in New York, NY",EmployerActive 11 days ago,$24 an hour,Solar company seeks data entry analyst for a remote position - must live locally in NY State.Review and analyze data with senior management weekly.,,Remote in New York, NY,0,0
207,Bobcat Company,newData Science Analyst,"West Fargo, ND 58078+1 location",PostedToday,Full-time,"Data & statistical analysis: 1 year (Preferred).Relational data management and reporting tools, such as Power BI or Tableau.Python or R: 1 year (Preferred).",,West Fargo, ND 58078+1 location,0,0
208,Phoenix Marketing International,Part-Time Data Production Analyst,+1 locationRemote,EmployerActive 1 day ago,Part-time,This position is an overnight shift from 9:00 PM (ET) - 3:00 AM (ET); 5 days per week; some flexibility is available.Part-Time Data Production Analyst: *.,,+1 locationRemote,,0,0
209,The Home Depot,newCybersecurity Analyst (Remote),"Remote in Atlanta, GA+1 location",Posted1 day ago,Full-time,"Collaborates with cross functional teams to collect, analyze data, presents results and provides recommendations.Must be eighteen years of age or older.",,Remote in Atlanta, GA+1 location,0,0
210,Besler & Company Inc.,Claims Investigation Analyst Jr. - Remote,Remote,EmployerActive 4 days ago,From $15.50 an hour,Analyze data in excel spreadsheets.Analyze and format client data files in a timely manner.We are currently seeking a Claims Investigation Jr. Analysts to…,,Remote,,0,0
211,PCI Health,newEntry Level Data Analyst,"Fort Smith, AR+1 location",Posted5 days ago,$13 - $16 an hour,Experience working with large amounts of data.This role will support the technical infrastructure of our telehealth organization by filtering and organizing…,,Fort Smith, AR+1 location,0,0
212,DISYS,newJr. Data Analyst,"Lutz, FL+5 locations",Posted4 days ago,$22 - $26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",,Lutz, FL+5 locations,0,0
213,Broadly,newData Analyst,Remote,EmployerActive 7 days ago,$66255 - $145111 a year,Position Summary: *The data delivery analyst playsan important part in our operations to ensure high quality data in our business systems and develop processes…,,Remote,,0,0
214,ALLCARE HEALTH,Credentialing Analyst,Remote,EmployerActive 2 days ago,Full-time,Looking for a full time remote data analyst*.Enters and maintains provider credentialing information in the health plans credentialing system including…,,Remote,,0,0
215,FSA Federal,Data Analyst Supporting the FBI,"Minneapolis, MN 55430+15 locations",Posted30+ days ago,$23.06 an hour,"Accurately enters required data into one or more databases, documents, or spreadsheets.Attention to detail and the ability to read and follow directions is…",,Minneapolis, MN 55430+15 locations,0,0
216,Synchrony Financial,Credit Analyst,"Draper, UT+9 locations",Posted11 days ago,$75000 - $150000 a year,Familiarity with any data visualization tools like TABLEAU.This is a great opportunity for someone who is a modeler/statistician/data analyst/coder (or a…,,Draper, UT+9 locations,0,0
217,CorTech,Data Analyst 1,"Columbia, SC",Posted27 days ago,$16 - $18 an hour,Review all system generated errors based on data entry standards.Identify and correct data entry errors in a timely manner to ensure inclusion of information…,,Columbia, SC,0,0
218,RemX,newJunior Data Entry Analyst,"Remote in Glen Allen, VA",PostedJust posted,,"Previous data entry, data analysis and customer service experience or equivalent combination of education and experience.Ensures accuracy and quality of data.",,Remote in Glen Allen, VA,0,0
219,American Unit,Data Protection Analyst,"New York, NY",EmployerActive 6 days ago,$60 - $65 an hour,Symantec is the biggest must have - otherwise need 10+ years of endpoint protection exp.Symantec SME manage security tools production support any antimalware…,,New York, NY,0,0
220,Discover,newBusiness Intelligence Analyst,"Riverwoods, IL 60015",PostedToday,Full-time,"Familiar with data modeling concept.Python programming experience with data manipulation and ETL process.2+ years hands on experience developing optimized,…",,Riverwoods, IL 60015,0,0
221,"NAE/NWAN, A Portfolio Company",Junior Risk Analyst (Texas),"Dallas, TX 75254 (Far North area)+2 locations",Posted13 days ago,$19 - $22 an hour,"May include independent research or analysis of additional data.3 to 4 years of experience working with a self-service tool, preferably Power BI.",,Dallas, TX 75254 (Far North area)+2 locations,0,0
222,Accuro Group,newData Intelligence Analyst,Temporarily Remote,EmployerActive 4 days ago,$60 - $65 an hour,"Understanding of data lineage, metadata as related to data management capabilities.Informatica EDC data model (CNB).ASG Technology: 3 years (Preferred).",,Temporarily Remote,,0,0
223,Ascendo Resources,newData Analyst,Remote+3 locations,PostedJust posted,$75000 a year,"Developing and maintaining databases, data systems – reorganizing data in a readable format.Performing analysis to assess quality and meaning of data.",,Remote+3 locations,,0,0
224,Lockton Companies - Property & Casualty Insurance,Data Analyst,"Hybrid remote in Kansas City, MO",EmployerActive 7 days ago,$65000 - $90000 a year,Maintains data integrity and data processing efficiency by working to eliminate redundancy and applying best practice data stewardship techniques.,,Hybrid remote in Kansas City, MO,0,0
225,"ASAP Solutions Group, LLC",newJr. Data Analyst ($33-$37/hr),Remote,PostedJust posted,$33 - $37 an hour,"We’re looking for someone with 3-5 years of experience in a position monitoring, managing, manipulating and drawing insights from data.",,Remote,,0,0
226,Velo IT Solutions,newData Governance Analyst,Remote,EmployerActive 5 days ago,$70 - $80 an hour,"Includes providing data for ad-hoc data requests.Data Management - Implementing and maintaining data standards, business glossaries / data dictionaries to…",,Remote,,0,0
227,X2Logics,newSr. Data Analyst,Remote,PostedJust posted,$60 - $65 an hour,"We are looking for a data analyst who will be responsible for coordinating the changes to computer databases, test, and implement the database applying…",,Remote,,0,0
